"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""ENROLLAMOUNT""",
"W;2;""RANGSIT"";2553;1;""CS101"";""471"";""DISCRETE MATHEMATICS FOR COMPUTER SCIENCE"";3;""010001"";0",
"W;2;""RANGSIT"";2553;1;""CS101"";""471"";""DISCRETE MATHEMATICS FOR COMPUTER SCIENCE"";3;""650001"";3",
"W;2;""RANGSIT"";2553;1;""CS101"";""471"";""DISCRETE MATHEMATICS FOR COMPUTER SCIENCE"";3;""650002"";5",
"W;2;""RANGSIT"";2553;1;""CS101"";""521"";""DISCRETE STRUCTURES"";3;""010001"";85",
"W;2;""RANGSIT"";2553;1;""CS101"";""521"";""DISCRETE STRUCTURES"";3;""650001"";73",
"W;2;""RANGSIT"";2553;1;""CS102"";""471"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";4",
"W;2;""RANGSIT"";2553;1;""CS102"";""471"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650002"";2",
"W;2;""RANGSIT"";2553;1;""CS102"";""471"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650003"";1",
"W;2;""RANGSIT"";2553;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""030201"";44",
"W;2;""RANGSIT"";2553;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650001"";38",
"W;2;""RANGSIT"";2553;1;""CS102"";""521"";""COMPUTER PROGRAMMING FUNDAMENTALS"";4;""650002"";36",
"W;2;""RANGSIT"";2553;1;""CS103"";""471"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070001"";36",
"W;2;""RANGSIT"";2553;1;""CS103"";""471"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070002"";2",
"W;2;""RANGSIT"";2553;1;""CS103"";""521"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070001"";52",
"W;2;""RANGSIT"";2553;1;""CS103"";""521"";""INTRODUCTION TO COMPUTER PROGRAMMING"";3;""070002"";83",
"W;2;""RANGSIT"";2553;1;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""010201"";11",
"C;2;""RANGSIT"";2553;1;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""068401"";0",
"W;2;""RANGSIT"";2553;1;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";14",
"W;2;""RANGSIT"";2553;1;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650002"";2",
"W;2;""RANGSIT"";2553;1;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""010201"";0",
"C;2;""RANGSIT"";2553;1;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""068401"";0",
"W;2;""RANGSIT"";2553;1;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";5",
"W;2;""RANGSIT"";2553;1;""CS213"";""471"";""DATA STRUCTURES"";3;""050001"";16",
"W;2;""RANGSIT"";2553;1;""CS213"";""471"";""DATA STRUCTURES"";3;""050002"";1",
"W;2;""RANGSIT"";2553;1;""CS213"";""471"";""DATA STRUCTURES"";3;""650001"";3",
